enzyme,temp,pH,activity,lnactivity
Bgase,25,4.5,145.8,4.98223582
Bgase,25,4.5,142.84,4.961725123
Bgase,25,4.5,120.91,4.795046467
Bgase,25,4.5,122.15,4.805249798
Bgase,20,4.5,143.8,4.968423445
Bgase,20,4.5,94.725,4.550977957
Bgase,20,4.5,68.121,4.221285536
Bgase,20,4.5,148.97,5.003744943
Bgase,15,4.5,59.79,4.090838423
Bgase,15,4.5,93.033,4.532954269
Bgase,15,4.5,117.15,4.763455165
Bgase,15,4.5,65.32,4.179298268
Bgase,10,4.5,49.172,3.895324356
Bgase,10,4.5,51.486,3.941309926
Bgase,10,4.5,83.21,4.421367533
Bgase,10,4.5,53.043,3.971102905
Bgase,10,4.5,29.934,3.398994958
Bgase,5,4.5,24.572,3.201607583
Bgase,5,4.5,17.073,2.837498268
Bgase,5,4.5,10.685,2.368840889
Bgase,5,4.5,23.494,3.156745069
Bgase,25,5.5,1003.7,6.911448451
Bgase,25,5.5,980.84,6.888409347
Bgase,25,5.5,1893.3,7.546076617
Bgase,25,5.5,1161.2,7.057209232
Bgase,25,5.5,724.51,6.585495564
Bgase,25,5.5,791.23,6.673588697
Bgase,20,5.5,836.75,6.72952534
Bgase,20,5.5,824.2,6.714413219
Bgase,20,5.5,523.85,6.261205384
Bgase,20,5.5,649.75,6.476587674
Bgase,15,5.5,464.12,6.140143139
Bgase,15,5.5,574.71,6.353865566
Bgase,15,5.5,846.21,6.740767556
Bgase,15,5.5,528.69,6.270402249
Bgase,10,5.5,384.97,5.953165409
Bgase,10,5.5,525.76,6.264844835
Bgase,10,5.5,512.43,6.239164116
Bgase,10,5.5,494.42,6.203385358
Bgase,10,5.5,334.29,5.81200888
Bgase,5,5.5,513.17,6.240607174
Bgase,5,5.5,441.92,6.09112887
Bgase,5,5.5,343.51,5.839216223
Bgase,5,5.5,273.06,5.609691551
Bgase,5,5.5,260.22,5.561527427
Bgase,5,5.5,284.93,5.652243536
Bgase,25,6.5,1286.2,7.159447414
Bgase,25,6.5,1367.8,7.220958889
Bgase,25,6.5,1931,7.565793282
Bgase,25,6.5,1410.3,7.251557727
Bgase,25,6.5,752.89,6.623919135
Bgase,25,6.5,1214.3,7.101923058
Bgase,20,6.5,912.15,6.81580445
Bgase,20,6.5,911.67,6.815278082
Bgase,20,6.5,636.52,6.456015839
Bgase,20,6.5,975.96,6.883421602
Bgase,15,6.5,856.11,6.752398873
Bgase,15,6.5,706.08,6.559728546
Bgase,15,6.5,1014.7,6.922348281
Bgase,15,6.5,660.7,6.493299879
Bgase,10,6.5,703.35,6.555854634
Bgase,10,6.5,641.57,6.463918297
Bgase,10,6.5,698.32,6.54867745
Bgase,10,6.5,617.94,6.426391365
Bgase,10,6.5,529.46,6.271857619
Bgase,5,6.5,683,6.52649486
Bgase,5,6.5,756.01,6.628054604
Bgase,5,6.5,567.74,6.341663567
Bgase,5,6.5,423.49,6.048529901
Bgase,5,6.5,403.37,5.999854255
Bgase,5,6.5,528.53,6.270099568
Bgase,25,7.5,745.03,6.613424486
Bgase,25,7.5,803.25,6.688665998
Bgase,25,7.5,1040.7,6.947648843
Bgase,25,7.5,988.37,6.896057122
Bgase,25,7.5,671.68,6.509782037
Bgase,25,7.5,1155.8,7.052548024
Bgase,20,7.5,622.57,6.433856072
Bgase,20,7.5,618.21,6.426828206
Bgase,20,7.5,525.87,6.265054034
Bgase,20,7.5,549.08,6.30824415
Bgase,15,7.5,442.25,6.091875333
Bgase,15,7.5,454.85,6.119967694
Bgase,15,7.5,799.27,6.683698811
Bgase,15,7.5,720.45,6.579876017
Bgase,10,7.5,442.36,6.09212403
Bgase,10,7.5,673.25,6.512116732
Bgase,10,7.5,572.2,6.349488581
Bgase,10,7.5,565.49,6.337692612
Bgase,10,7.5,521.73,6.257150213
Bgase,5,7.5,568.53,6.343054082
Bgase,5,7.5,640.22,6.461811867
Bgase,5,7.5,567.74,6.341663567
Bgase,5,7.5,392.92,5.973606029
Bgase,5,7.5,469.27,6.151178296
Bgase,5,7.5,433.03,6.07080701
Bgase,25,8.5,660.61,6.493163651
Bgase,25,8.5,713.48,6.570154406
Bgase,25,8.5,511.82,6.237973001
Bgase,25,8.5,933.01,6.838415919
Bgase,25,8.5,528.63,6.270288754
Bgase,25,8.5,1015.7,6.923333309
Bgase,20,8.5,348.74,5.854326659
Bgase,20,8.5,373.97,5.92417558
Bgase,20,8.5,442.41,6.092237054
Bgase,20,8.5,566.44,6.339371161
Bgase,15,8.5,365.95,5.902496712
Bgase,15,8.5,355.21,5.872709164
Bgase,15,8.5,489.68,6.193752117
Bgase,15,8.5,560.17,6.328240309
Bgase,10,8.5,305.89,5.72322556
Bgase,10,8.5,594.9,6.388393324
Bgase,10,8.5,528.33,6.269721088
Bgase,10,8.5,464.16,6.14022932
Bgase,10,8.5,384.5,5.951943789
Bgase,5,8.5,450.57,6.110513448
Bgase,5,8.5,442.97,6.093502048
Bgase,5,8.5,399.68,5.990664227
Bgase,5,8.5,177.45,5.178688879
Bgase,5,8.5,385.53,5.954619011
Bgase,5,8.5,278.28,5.628627801
Bgase,5,8.5,186.65,5.229235205
Bgase,5,8.5,433.96,6.072952364
NAGase,25,4.5,319.3125,5.766170247
NAGase,25,4.5,153.6563,5.03471829
NAGase,25,4.5,335.0313,5.81422396
NAGase,20,4.5,269.625,5.597032105
NAGase,20,4.5,166.625,5.115745778
NAGase,20,4.5,138.7188,4.932448862
NAGase,20,4.5,185.4688,5.222886674
NAGase,15,4.5,213.9063,5.365538069
NAGase,15,4.5,178.3438,5.183713148
NAGase,15,4.5,165.25,5.107459479
NAGase,15,4.5,154.6563,5.041205235
NAGase,10,4.5,112.9375,4.726834568
NAGase,10,4.5,160.1563,5.076150213
NAGase,10,4.5,151.8125,5.022646207
NAGase,5,4.5,82.25,4.40976339
NAGase,5,4.5,109.9688,4.700196689
NAGase,5,4.5,128.5938,4.856658599
NAGase,5,4.5,94.1875,4.545287476
NAGase,25,5.5,734.7188,6.599487841
NAGase,25,5.5,613.625,6.419383992
NAGase,25,5.5,748.125,6.617570076
NAGase,20,5.5,644.7188,6.468814253
NAGase,20,5.5,357.5313,5.879222911
NAGase,20,5.5,410.6875,6.017832585
NAGase,20,5.5,498.7813,6.212167723
NAGase,15,5.5,350.5,5.859360706
NAGase,15,5.5,346.3438,5.847431923
NAGase,15,5.5,355.9063,5.874667494
NAGase,15,5.5,258.7188,5.555741758
NAGase,10,5.5,245.7813,5.504442116
NAGase,10,5.5,293.2813,5.681132217
NAGase,10,5.5,277.4063,5.625483219
NAGase,5,5.5,183.4688,5.212044626
NAGase,5,5.5,207.4375,5.334830089
NAGase,5,5.5,251.1563,5.526075454
NAGase,5,5.5,212.3438,5.358206659
NAGase,25,6.5,441.625,6.090461106
NAGase,25,6.5,382.0313,5.945502542
NAGase,25,6.5,493.25,6.201016145
NAGase,20,6.5,448.125,6.105072211
NAGase,20,6.5,195.25,5.274280789
NAGase,20,6.5,281.8125,5.641241956
NAGase,20,6.5,297,5.693732139
NAGase,15,6.5,346.5938,5.848153489
NAGase,15,6.5,249.5,5.519458915
NAGase,15,6.5,256.6875,5.547859392
NAGase,15,6.5,146,4.983606622
NAGase,10,6.5,174.3438,5.161029212
NAGase,10,6.5,191.6563,5.255703664
NAGase,10,6.5,191.625,5.255540337
NAGase,5,6.5,119.7813,4.78566758
NAGase,5,6.5,146.3438,4.985958648
NAGase,5,6.5,157.4375,5.059028554
NAGase,5,6.5,145.4063,4.979531893
NAGase,25,7.5,177.375,5.178266135
NAGase,25,7.5,218.6563,5.387501091
NAGase,25,7.5,239.6563,5.479205814
NAGase,20,7.5,145.4063,4.979531893
NAGase,20,7.5,157.8125,5.061407619
NAGase,20,7.5,118.8125,4.77754662
NAGase,20,7.5,148.25,4.998900038
NAGase,15,7.5,124.625,4.825309228
NAGase,15,7.5,104.9063,4.653067571
NAGase,15,7.5,95.1563,4.555520803
NAGase,10,7.5,65.875,4.187759007
NAGase,10,7.5,92.5625,4.527884092
NAGase,10,7.5,91.8438,4.520089308
NAGase,5,7.5,45.375,3.814961293
NAGase,5,7.5,56.375,4.032025798
NAGase,5,7.5,54.2813,3.994179785
NAGase,5,7.5,58.9375,4.07647756
NAGase,25,8.5,98.0938,4.585924164
NAGase,25,8.5,117.8125,4.769094378
NAGase,25,8.5,157.5938,5.060020837
NAGase,20,8.5,86.5938,4.461228219
NAGase,20,8.5,106.4375,4.667557958
NAGase,20,8.5,79.1875,4.371818458
NAGase,20,8.5,114.1875,4.737841834
NAGase,15,8.5,66.0625,4.190601264
NAGase,15,8.5,71.8438,4.274494318
NAGase,15,8.5,56.8125,4.039756372
NAGase,15,8.5,90.1875,4.501890837
NAGase,10,8.5,47.9688,3.8705508
NAGase,10,8.5,84,4.430816799
NAGase,10,8.5,77.1563,4.345833235
NAGase,5,8.5,26.8438,3.290034882
NAGase,5,8.5,59.75,4.090169191
NAGase,5,8.5,43.125,3.764102875
NAGase,5,8.5,53.375,3.977342472
